"""Procedimento"";""Quantidade aprovada"";""Valor aprovado"""
"""0210010100 ARTERIOGRAFIA P/ INVESTIGACAO DE HEMORRAGIA CEREBRAL"";32573;18591111,42"
"""0210010118 ARTERIOGRAFIA P/ INVESTIGACAO DE ISQUEMIA CEREBRAL"";13770;8072302,57"
"""0210010126 ARTERIOGRAFIA PELVICA"";22028;4091888,85"
"""0210010134 ARTERIOGRAFIA SELETIVA DE CAROTIDA"";44118;9178036,76"
"""0210010142 ARTERIOGRAFIA SELETIVA POR CATETER (POR VASO)"";72166;15787800,78"
"""0210010150 ARTERIOGRAFIA SELETIVA VERTEBRAL"";30612;6714654,96"
"""0210010169 ESPLENOPORTOGRAFIA"";1139;217552,89"
"""0210010177 FLEBOGRAFIA DE MEMBRO"";4297;-"
"""0210010185 FLEBOGRAFIA DE CAVA INFERIOR E/OU SUPERIOR"";5013;-"
"""0210010193 LINFANGIOADENOGRAFIA"";1050;219938,20"
"""0210010207 PORTOGRAFIA TRANS-HEPATICA"";647;136445,27"
"""0210020016 COLANGIOGRAFIA TRANSCUTANEA"";12944;616495,49"
"""0211010022 INVESTIGACAO ULTRASSONICA (PLETISMOGRAFIA)"";83;-"
"""0211010030 OSCILOMETRIA DE IMPULSO"";3893;-"
"""0211020010 CATETERISMO CARDIACO"";689485;573265422,09"
"""0211020028 CATETERISMO CARDIACO EM PEDIATRIA"";3999;3031125,24"
"""0211020036 ELETROCARDIOGRAMA"";14019803;-"
"""0211020044 MONITORAMENTO PELO SISTEMA HOLTER 24 HS (3 CANAIS)"";133981;-"
"""0211020060 TESTE DE ESFORCO / TESTE ERGOMETRICO"";11481;-"
"""0211020079 OXIMETRIA DE PULSO (TESTE DO CORACAOZINHO)"";2338898;-"
"""0211030015 AVALIACAO CINEMATICA E DE PARAMETROS LINEARES"";18073;22800,33"
"""0211030023 AVALIACAO CINETICA, CINEMATICA E DE PARAMETROS LINEARES"";94114;122275,88"
"""0211030031 AVALIACAO DE EQUILIBRIO ESTATICO EM PLACA DE FORCA"";10729;13560,86"
"""0211030040 AVALIACAO DE FUNCAO E MECANICA RESPIRATORIA"";2500646;-"
"""0211030058 AVALIACAO DE FUNCAO E MECANICA RESPIRATORIA COM TRANSDUTORES MICROPROCESSADOS"";18127;-"
"""0211030066 AVALIACAO DE MOVIMENTO (POR IMAGEM)"";3722;4693,50"
"""0211030074 AVALIACAO FUNCIONAL MUSCULAR"";2426525;3241764,43"
"""0211030082 ELETRODIAGNOSTICO CINETICO FUNCIONAL"";21406;28008,53"
"""0211030090 ELETROMIOGRAFIA DINAMICA, AVALIACAO CINETICA, CINEMATICA E DE PARAMETROS LINEARES"";200;260,23"
"""0211040010 AMNIOSCOPIA"";154849;-"
"""0211040029 COLPOSCOPIA"";1041;-"
"""0211040061 TOCOCARDIOGRAFIA ANTE-PARTO"";6063593;-"
"""0211050024 ELETROENCEFALOGRAFIA EM VIGILIA C/ OU S/ FOTO-ESTIMULO"";52911;-"
"""0211050032 ELETROENCEFALOGRAMA EM SONO INDUZIDO C/ OU S/ MEDICAMENTO (EEG)"";47145;-"
"""0211050040 ELETROENCEFALOGRAMA EM VIGILIA E SONO ESPONTANEO C/ OU S/ FOTOESTIMULO (EEG)"";87910;-"
"""0211050067 ELETROMIOGRAMA (EMG)"";2419;-"
"""0211050083 ELETRONEUROMIOGRAMA (ENMG)"";14837;-"
"""0211050091 EXPLORACAO DIAGNOSTICA PELO VIDEO-ELETROENCEFALOGRAMA COM OU SEM USO DE ELETRODO DE PROFUNDIDADE"";18053;33475168,47"
"""0211050105 POLISSONOGRAFIA"";24514;4145663,59"
"""0211050113 POTENCIAL EVOCADO AUDITIVO"";14306;-"
"""0211050121 POTENCIAL EVOCADO VISUAL / OCCIPTO"";3826;-"
"""0211050130 POTENCIAL SOMATO-SENSITIVO"";291;-"
"""0211050148 TESTE DE WADA"";21;32860,82"
"""0211060259 TONOMETRIA"";3546;12428,01"
"""0211070025 AUDIOMETRIA DE REFORCO VISUAL (VIA AEREA / OSSEA)"";1247;-"
"""0211070041 AUDIOMETRIA TONAL LIMIAR (VIA AEREA / OSSEA)"";1116;-"
"""0211070068 AVALIACAO DE LINGUAGEM ESCRITA / LEITURA"";493;-"
"""0211070076 AVALIACAO DE LINGUAGEM ORAL"";308537;-"
"""0211070084 AVALIACAO MIOFUNCIONAL DE SISTEMA ESTOMATOGNATICO"";1327751;-"
"""0211070114 AVALIACAO VOCAL"";260415;-"
"""0211070149 EMISSOES OTOACUSTICAS EVOCADAS PARA TRIAGEM AUDITIVA (TESTE DA ORELHINHA)"";1702000;-"
"""0211070157 ESTUDO DE EMISSOES OTOACUSTICAS EVOCADAS TRANSITORIAS E PRODUTOS DE DISTORCAO (EOA)"";74079;-"
"""0211070203 IMITANCIOMETRIA"";3304;-"
"""0211070211 LOGOAUDIOMETRIA (LDV-IRF-LRF)"";791;-"
"""0211070262 POTENCIAL EVOCADO AUDITIVO DE CURTA MEDIA E LONGA LATENCIA"";5838;-"
"""0211070270 POTENCIAL EVOCADO AUDITIVO PARA TRIAGEM AUDITIVA (TESTE DA ORELHINHA)"";102870;-"
"""0211070351 TESTES VESTIBULARES / OTONEUROLOGICOS"";262;-"
"""0211070394 POTENCIAL EVOCADO ELETRICAMENTE NO SISTEMA AUDITIVO"";735;-"
"""0211070408 REFLEXO ESTAPEDIANO ELICIADO ELETRICAMENTE"";235;-"
"""0211070424 EMISSOES OTOACUSTICAS EVOCADAS PARA TRIAGEM AUDITIVA (TESTE DA ORELHINHA/RETESTE)"";2450;-"
"""0211070432 POTENCIAL EVOCADO AUDITIVO P/ TRIAGEM AUDITIVA (TESTE DA ORELHINHA/RETESTE)"";1944;-"
"""0211080012 ESPIROGRAFIA C/ DETERMINACAO DO VOLUME RESIDUAL"";908;-"
"""0211080047 GASOMETRIA (APOS OXIGENIO A 100 DURANTE A DIFUSAO ALVEOLO-CAPILAR)"";224600;-"
"""0211080063 PROVA DE FUNCAO PULMONAR SIMPLES"";14001;-"
"""0211080071 PROVA FARMACODINAMICA"";1638;-"
"""0211080080 TESTE DA CAMINHADA DE 6 MINUTOS"";1615;-"
"""0211090042 CISTOMETRIA SIMPLES"";824;-"
"""0211100013 APLICACAO DE TESTE P/ PSICODIAGNOSTICO"";15404;-"
"""0212010026 EXAMES PRE-TRANSFUSIONAIS I"";8772118;149472511,44"
"""0212010034 EXAMES PRE-TRANSFUSIONAIS II"";8355447;142371875,28"
"""0213010747 TESTE DE RESISTENCIA ANTIMICROBIANA PARA HANSENIASE."";1;-"
"""0213010755 TESTE DE HIBRIDIZACAO DE SONDA EM LINHA DE 1ôí LINHA PARA TUBERCULOSE (LPA)"";6;-"
"""0213010763 TESTE DE HIBRIDIZACAO DE SONDA EM LINHA DE 2ôí LINHA PARA TUBERCULOSE (LPA)"";1;-"
"""0213010771 TESTE MOLECULAR PARA A DETECCAO DE HIV-2"";1089;-"
"""0213010780 DETECCAO RAPIDA DA CARGA VIRAL DO HIV"";471;-"
"""0213010798 DETECCAO RAPIDA DA CARGA VIRAL DO HBV"";104;-"
"""0213010801 DETECCAO RAPIDA DA CARGA VIRAL DO HCV"";2526;-"
"""0213010810 CONTAGEM RAPIDA DE LINFOCITOS CD4"";2;-"
"""0213010828 CULTURA LIQUIDA AUTOMATIZADA PARA MICOBACTERIAS"";23;-"
"""0214010015 GLICEMIA CAPILAR"";83495648;-"
"""0214010023 PESQUISA DE CORPOS CETONICOS NA URINA"";10134;-"
"""0214010031 PESQUISA DE GLICOSE NA URINA"";10195;-"
"""0214010040 TESTE RAPIDO PARA DETECCAO DE HIV NA GESTANTE OU PAI/PARCEIRO"";6352232;6381600,80"
"""0214010058 TESTE RAPIDO PARA DETECCAO DE ANTICORPOS ANTI-HIV PARAPOPULACAO GERAL (EXCETO GESTANTE, PARCEIRO"";1614444;1644702,10"
"""0214010074 TESTE RAPIDO TREPONEMICO (SIFILIS) PARA POPULACAO GERAL(EXCETO GESTANTE, PARCEIRO OU PARCERIA)"";1916045;-"
"""0214010104 TESTE RAPIDO PARA DETECCAO DE INFECCAO PELO HBV"";527444;-"
"""0214010112 TESTE RAPIDO PARA VIRUS ZIKA IGG/IGM"";9753;-"
"""0214010120 TESTE RAPIDO PARA DENGUE IGG/IGM"";128679;-"
"""0214010139 TESTE RAPIDO PARA FEBRE CHIKUNGUNYA IGM"";5649;-"
"""0214010180 TESTE RAPIDO PARA MALARIA€ù"";400;-"
"""0214010198 TESTE RAPIDO LF-LAM PARA TUBERCULOSE"";1490;-"
"""0214010210 TESTE RAPIDO CRAG PARA CRIPTOCOCOSE"";451;-"
"""0214010228 TESTE RAPIDO PARA DETECCAO DO ANTIGENO DE SUPERFICIE DO VIRUS DA HEPATITE B - HBV (HBSAG) PARA"";278;-"
"""0214010236 TESTE RAPIDO PARA DETECCAO DO ANTIGENO DE SUPERFICIE DO VIRUS DA HEPATITE B - HBV (HBSAG) EM GE"";4731;-"
"""0214010244 TESTE RAPIDO PARA DETECCAO DO ANTIGENO DE SUPERFICIE DO VIRUS DA HEPATITE B (HBV) (HBSAG) EM PA"";326;-"
"""0214010252 TESTE RAPIDO TREPONEMICO (SIFILIS) EM GESTANTE"";6614;-"
"""0214010260 TESTE RAPIDO TREPONEMICO (SIFILIS) EM PARCEIRO OU PARCERIA DE GESTANTE"";107;-"
"""0214010279 TESTE RAPIDO PARA DETECCAO DE ANTICORPOS ANTI-HIV EM GESTANTE"";25705;25861,65"
"""0214010287 TESTE RAPIDO PARA DETECCAO DE ANTICORPOS ANTI-HIV EM PARCEIRO OU PARCERIA DE GESTANTE"";1641;1642,50"
"""0214010295 TESTE RAPIDO PARA DETECCAO DE ANTICORPOS CONTRA O VIRUS DA HEPATITE C PARA POPULACAO GERAL (EXC"";240;-"
"""0214010309 TESTE RAPIDO PARA DETECCAO DE ANTICORPOS CONTRA O VIRUS DA HEPATITE C EM GESTANTE"";4060;-"
"""0214010317 TESTE RAPIDO PARA DETECCAO DE ANTICORPOS CONTRA O VIRUS DA HEPATITE C EM PARCEIRO OU PARCERIA DE"";139;-"
"""0301010048 CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ESPECIALIZADA (EXCETO MEDICO)"";163349521;-"
"""0301010145 PRIMEIRA CONSULTA DE PEDIATRIA AO RECEM-NASCIDO"";-;84664381,50"
"""0301010170 CONSULTA/AVALIACAO EM PACIENTE INTERNADO"";170362830;1093793051,97"
"""0301040028 ATENDIMENTO CLINICO PARA INDICACAO, FORNECIMENTO E INSERCAO DO DISPOSITIVO INTRA-UTERINO (DIU)"";16325;-"
"""0301040141 INSERCAO DO DISPOSITIVO INTRA-UTERINO (DIU)"";187645;-"
"""0301040150 RETIRADA DO DISPOSITIVO INTRA-UTERINO (DIU)"";1918;-"
"""0301040168 PROCEDIMENTO PRE-OPERATORIOS REALIZADOS NA REDE DE SAUDE ? COMPLEMENTACAO"";727364;41328377,97"
"""0301040176 INSERCAO DO€ùIMPLANTE SUBDERMICO LIBERADOR DE ETONOGESTREL"";7046;-"
"""0301040184 RETIRADA DO IMPLANTE SUBDERMICO LIBERADOR DE ETONOGESTREL"";29;-"
"""0301050074 INTERNACAO DOMICILIAR"";1483046;35513235,63"
"""0301060010 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA PEDIATRICA"";493370;22286943,51"
"""0301060070 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA CIRURGICA"";539099;21106975,64"
"""0301060088 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA"";1418153;60072484,89"
"""0301090017 ATENDIMENTO EM GERIATRIA (1 TURNO)"";27906;611361,66"
"""0301090025 ATENDIMENTO EM GERIATRIA (2 TURNOS)"";6865;169524,49"
"""0301100047 CATETERISMO VESICAL DE ALIVIO"";753179;-"
"""0301100055 CATETERISMO VESICAL DE DEMORA"";2024091;-"
"""0301100063 CUIDADOS COM ESTOMAS"";245309;-"
"""0301100071 CUIDADOS C/ TRAQUEOSTOMIA"";1352667;-"
"""0301100080 DETERMINACAO DE PRESSAO VENOSA CENTRAL (PVC)"";300062;-"
"""0301100098 ENEMA"";182908;-"
"""0301100101 INALACAO / NEBULIZACAO"";31767694;-"
"""0301100110 IRRIGACAO VESICAL"";467636;-"
"""0301100128 LAVAGEM GASTRICA"";19899;-"
"""0301100144 OXIGENOTERAPIA POR DIA"";26584974;-"
"""0301100179 SONDAGEM GASTRICA"";333354;-"
"""0301100276 CURATIVO ESPECIAL"";1166201;-"
"""0301100284 CURATIVO SIMPLES"";5789910;-"
"""0301160023 REABILITACAO EM FALENCIA INTESTINAL EM NIVEL HOSPITALAR"";1021;231183,15"
"""0302010017 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE NO PRE/POS CIRURGIAS UROGINECOLOGICAS"";1273777;8454981,64"
"""0302010025 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTES C/ DISFUNCOES UROGINECOLOGICAS"";1025712;5127165,80"
"""0302010033 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE NEONATO"";9801476;66960838,33"
"""0302020012 ATENDIMENTO FISIOTERAPEUTICO DE PACIENTE COM CUIDADOS PALIATIVOS"";2116071;14528681,48"
"""0302020020 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE ONCOLOGICO CLINICO"";3638650;17191657,03"
"""0302020039 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE NO PRE E POS CIRURGIA ONCOLOGICA"";1964857;12722337,14"
"""0302030018 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTES COM ALTERACOES OCULOMOTORAS CENTRAIS C/ COMPROMETIMENTO"";343977;2270359,29"
"""0302030026 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM ALTERACOES OCULOMOTORAS PERIFERICAS"";426078;2038397,55"
"""0302040013 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO COM COMPLICACOES SISTEMICAS"";118416841;800309836,62"
"""0302040021 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO SEM COMPLICACOES SISTEMICAS"";40176642;199783682,79"
"""0302040030 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO CLINICO CARDIOVASCULAR"";11001476;54696136,79"
"""0302040048 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE PRE/POS CIRURGIA CARDIOVASCULAR"";7138825;49427908,05"
"""0302040056 ATENDIMENTO FISIOTERAPEUTICO NAS DISFUNCOES VASCULARES PERIFERICAS"";11573922;56229951,85"
"""0302050019 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTES NO PRE E POS-OPERATORIO NAS DISFUNCOES MUSCULO ESQUE"";15165119;104771287,11"
"""0302050035 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTES NO PRE E POS-OPERATORIO NAS DISFUNCOES MUSCULO- ESQUE"";9454960;67361078,13"
"""0302060014 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTES COM DISTURBIOS NEURO-CINETICO-FUNCIONAIS SEM COMPLICAC"";10673274;52075214,24"
"""0302060022 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTES COM DISTURBIOS NEURO-CINETICO-FUNCIONAIS COM COMPLICAC"";50910903;341902312,69"
"""0302060030 ATENDIMENTO FISIOTERAPEUTICO NAS DESORDENS DO DESENVOLVIMENTO NEURO MOTOR"";15429397;75911325,88"
"""0302060057 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE NO PRE/POS-OPERATORIO DE NEUROCIRURGIA"";2852705;19789534,43"
"""0302070010 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE MEDIO QUEIMADO"";134544;768782,73"
"""0302070028 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE GRANDE QUEIMADO"";390114;2937478,57"
"""0303010010 TRATAMENTO DE DENGUE CLASSICA"";342752;98191829,28"
"""0303010029 TRATAMENTO DE DENGUE HEMORRAGICA"";21928;6114937,84"
"""0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS"";2025312;1849494072,85"
"""0303010045 TRATAMENTO DE DOENCAS BACTERIANAS ZOONOTICAS"";12330;4303010,98"
"""0303010053 TRATAMENTO DE OUTRAS DOENCAS DEVIDAS A PROTOZOARIOS (B55 A B64)"";20421;2753183,86"
"""0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS"";740953;238565379,67"
"""0303010070 TRATAMENTO DE FEBRES POR ARBOVIRUS E FEBRES HEMORRAGICAS VIRAIS"";16511;2847477,03"
"""0303010088 TRATAMENTO DE HANSENIASE"";6233;1418358,99"
"""0303010096 TRATAMENTO DE HANTAVIROSE"";451;75386,27"
"""0303010100 TRATAMENTO DE HELMINTIASES (B65 a B83)"";4392;790070,48"
"""0303010118 TRATAMENTO DE HEPATITES VIRAIS"";16451;3362885,62"
"""0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64)"";118108;28990131,94"
"""0303010134 TRATAMENTO DE INFECCOES VIRAIS CARACTERIZADAS POR LESOES DE PELE E MUCOSAS (B00 A B09)"";31311;5503647,45"
"""0303010142 TRATAMENTO DE INFECCOES VIRAIS DO SISTEMA NERVOSO CENTRAL"";24085;17064090,34"
"""0303010150 TRATAMENTO DE MALARIA"";10104;2165352,02"
"""0303010169 TRATAMENTO DE MICOSES (B35 A B49)"";12963;5936227,38"
"""0303010177 TRATAMENTO DE OUTRAS DOENCAS CAUSADAS POR CLAMIDIAS(A70 A A74)"";81;11860,78"
"""0303010185 TRATAMENTO DE OUTRAS DOENCAS CAUSADAS POR ESPIROQUETAS (A65 A A69)"";6228;1613298,23"
"""0303010193 TRATAMENTO DE OUTRAS DOENCAS CAUSADAS POR VIRUS (B25 A B34)"";132819;20697244,89"
"""0303010207 TRATAMENTO DE POLIOMIELITE PARALITICA AGUDA"";87;14810,88"
"""0303010215 TRATAMENTO DE TUBERCULOSE (A15 A A19)"";1424118;116564854,27"
"""0303010223 TRATAMENTO DE INFECCAO PELO CORONAVIRUS ? COVID 19"";1792684;2549895865,73"
"""0303020032 TRATAMENTO DE ANEMIA APLASTICA E OUTRAS ANEMIAS"";246609;99930147,29"
"""0303020040 TRATAMENTO DE ANEMIA HEMOLITICA"";83986;20270146,08"
"""0303020059 TRATAMENTO DE ANEMIAS NUTRICIONAIS"";142941;32616279,60"
"""0303020067 TRATAMENTO DE DEFEITOS DA COAGULACAO PURPURA E OUTRAS AFECCOES HEMORRAGICAS"";48129;9619125,24"
"""0303020075 TRATAMENTO DE HEMOFILIAS"";3172;2927847,15"
"""0303020083 TRATAMENTO DE OUTRAS DOENCAS DO SANGUE E DOS ORGAOS HEMATOPOIETICOS"";49945;12963368,56"
"""0303030011 TRATAMENTO DA FIBROSE CISTICA"";511;28586,09"
"""0303030020 TRATAMENTO DE DESNUTRICAO"";139840;60560220,66"
"""0303030038 TRATAMENTO DE DIABETES MELLITUS"";461882;169931859,35"
"""0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS"";272213;39154069,40"
"""0303030054 TRATAMENTO DE TRANSTORNOS DA GLANDULA TIREOIDE"";8039;1574980,68"
"""0303030062 TRATAMENTO DE TRANSTORNOS DE OUTRAS GLANDULAS ENDOCRINAS"";8842;1951109,98"
"""0303040017 AJUSTE MEDICAMENTOSO DE SITUACOES NEUROLOGICAS AGUDIZADAS"";58534;17363006,97"
"""0303040025 INTERNACAO P/ O TRATAMENTO MEDICAMENTOSO DA OSTEOGENESIS IMPERFECTA"";4486;2504628,37"
"""0303040033 TRATAMENTO DA MIGRANEA COMPLICADA"";46897;5110339,02"
"""0303040041 TRATAMENTO CLINICO DE ABSCESSO CEREBRAL"";4254;1646703,89"
"""0303040050 TRATAMENTO CLINICO DE COREIA AGUDA"";653;103007,05"
"""0303040068 TRATAMENTO CONSERVADOR DA DOR REBELDE DE ORIGEM CENTRAL OU NEOPLASICA"";66064;21960038,61"
"""0303040076 TRATAMENTO CONSERVADOR DA HEMORRAGIA CEREBRAL"";44147;14421747,90"
"""0303040084 TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO (GRAU LEVE)"";257160;64416984,49"
"""0303040092 TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO (GRAU MEDIO)"";180917;60843549,25"
"""0303040106 TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO GRAVE"";72397;57841829,29"
"""0303040114 TRATAMENTO CONSERVADOR DE TRAUMATISMO RAQUIMEDULAR"";28437;10227456,77"
"""0303040122 TRATAMENTO CONSERVADOR DE TUMOR DO SISTEMA NERVOSO CENTRAL"";32753;22219639,74"
"""0303040130 TRATAMENTO CLINICO DAS MIELITES / MIELOPATIAS"";18341;5962976,84"
"""0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)"";1233454;606853235,93"
"""0303040157 TRATAMENTO DE COMPLICACOES DA HIDROCEFALIA"";20767;6727134,34"
"""0303040165 TRATAMENTO DE CRISES EPILETICAS NAO CONTROLADAS"";282410;33384006,66"
"""0303040173 TRATAMENTO DE DISTROFIAS MUSCULARES"";3109;540163,13"
"""0303040181 TRATAMENTO DE DOENCA DE PARKINSON"";3148;941963,60"
"""0303040190 TRATAMENTO DE DOENCA DOS NEURONIOS MOTORES CENTRAIS C/ OU S/ AMIOTROFIAS"";8224;2420879,10"
"""0303040203 TRATAMENTO DE DOENCAS NEURODEGENERATIVAS"";34475;10308255,95"
"""0303040211 TRATAMENTO DE ENCEFALOPATIA HIPERTENSIVA"";10568;1326697,68"
"""0303040220 TRATAMENTO DE ESCLEROSE GENERALIZADA PROGRESSIVA"";2017;339313,60"
"""0303040238 TRATAMENTO DE FRATURA DA COLUNA VERTEBRAL C/ LESAO DA MEDULA ESPINHAL"";11734;3934643,01"
"""0303040246 TRATAMENTO DE INTERCORRENCIAS DE DOENCAS NEUROMUSCULARES"";14868;3258582,03"
"""0303040254 TRATAMENTO DE MIASTENIA GRAVE"";3780;629271,22"
"""0303040262 TRATAMENTO DE POLINEUROPATIAS"";43563;14864808,05"
"""0303040270 TRATAMENTO DE POLIRRADICULONEURITE DESMIELINIZANTE AGUDA"";13297;3731143,75"
"""0303040289 TRATAMENTO DE SURTO DE ESCLEROSE MULTIPLA"";34356;10174543,94"
"""0303040297 TRATAMENTO DE PROCESSO TOXI-INFECCIOSO DO CEREBRO OU DA MEDULA ESPINHAL"";18823;5333758,24"
"""0303040300 TRATAMENTO DO ACIDENTE VASCULAR CEREBRAL ISQUEMICO AGUDO COM USO DE TROMBOLITICO"";29028;47122033,47"
"""0303050136 TRATAMENTO CLINICO DE INTERCORRENCIAS OFTALMOLOGICAS"";16753;3740017,47"
"""0303050144 TRATAMENTO CLINICO DE INTERCORRENCIAS OFTALMOLOGICAS DE ORIGEM INFECCIOSA"";5407;1473408,94"
"""0303060018 TRATAMENTO DE ANEURISMA DA AORTA"";29304;9371556,21"
"""0303060026 TRATAMENTO DE ARRITMIAS"";191506;41970361,19"
"""0303060034 TRATAMENTO DE CARDIOPATIA HIPERTROFICA"";3490;915165,31"
"""0303060042 TRATAMENTO DE CARDIOPATIA ISQUEMICA CRONICA"";33393;8278248,38"
"""0303060050 TRATAMENTO DE CHOQUE ANAFILATICO"";5170;466233,22"
"""0303060069 TRATAMENTO DE CHOQUE CARDIOGENICO"";33906;14820918,96"
"""0303060077 TRATAMENTO DE CHOQUE HIPOVOLEMICO"";26496;7975074,03"
"""0303060085 TRATAMENTO DE COMPLICACOES CARDIACAS POS-CIRURGIA"";3939;999668,83"
"""0303060093 TRATAMENTO DE COMPLICACOES DE DISPOSITIVOS PROTETICOS IMPLANTES E ENXERTOS CARDIACOS E VALVULARES"";2148;449750,95"
"""0303060107 TRATAMENTO DE CRISE HIPERTENSIVA"";272298;50749785,52"
"""0303060115 TRATAMENTO DE DOENCA REUMATICA C/ COMPROMETIMENTO CARDIACO"";8128;2105835,52"
"""0303060123 TRATAMENTO DE DOENCA REUMATICA S/ CARDITE"";2381;419095,36"
"""0303060131 TRATAMENTO DE EDEMA AGUDO DE PULMAO"";118436;77771538,06"
"""0303060140 TRATAMENTO DE EMBOLIA PULMONAR"";63418;34453865,25"
"""0303060158 TRATAMENTO DE ENDOCARDITE INFECCIOSA EM PROTESE VALVAR"";3921;3684387,27"
"""0303060166 TRATAMENTO DE ENDOCARDITE INFECCIOSA EM VALVULA NATIVA"";7891;7507788,84"
"""0303060174 TRATAMENTO DE HIPERTENSAO PULMONAR"";6322;3445686,03"
"""0303060182 TRATAMENTO DE HIPERTENSAO SECUNDARIA"";21312;3576409,57"
"""0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO"";506579;297367885,09"
"""0303060204 TRATAMENTO DE INSUFICIENCIA ARTERIAL C/ ISQUEMIA CRITICA"";130638;45905648,09"
"""0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA"";1100467;806390859,95"
"""0303060220 TRATAMENTO DE LINFADENITES INESPECIFICAS"";28371;7116497,80"
"""0303060239 TRATAMENTO DE MIOCARDIOPATIAS"";7859;2106082,08"
"""0303060247 TRATAMENTO DE OUTRAS VASCULOPATIAS"";19080;4596211,46"
"""0303060255 TRATAMENTO DE PARADA CARDIACA C/ RESSUSCITACAO"";36072;10876644,16"
"""0303060263 TRATAMENTO DE PE DIABETICO COMPLICADO"";149271;48197808,35"
"""0303060271 TRATAMENTO DE PERICARDITE"";8362;1838133,67"
"""0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA"";337647;116787118,40"
"""0303060298 TRATAMENTO DE TROMBOSE VENOSA PROFUNDA"";195837;64405775,99"
"""0303060301 TRATAMENTO DE VARIZES DOS MEMBROS INFERIORES C/ ULCERA"";30511;7750872,20"
"""0303070021 HEMOPERFUSAO"";1780;189592,67"
"""0303070064 TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO"";227992;43519980,03"
"""0303070072 TRATAMENTO DE DOENCAS DO FIGADO"";303008;131178983,22"
"""0303070080 TRATAMENTO DE DOENCAS DO PERITONIO"";25635;6568370,54"
"""0303070099 TRATAMENTO DE ENTERITES E COLITES NAO INFECCIOSAS"";83905;17314493,60"
"""0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO"";707550;264844897,24"
"""0303070110 TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO"";342710;68676772,64"
"""0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS"";581374;161794524,36"
"""0303070137 TRATAMENTO DE INTERCORRENCIA CLINICA POS-CIRURGIA BARIATRICA"";872;278580,83"
"""0303080043 TRATAMENTO DE AFECCOES BOLHOSAS"";10203;1843073,42"
"""0303080051 TRATAMENTO DE DERMATITES E ECZEMAS"";29455;6790003,90"
"""0303080060 TRATAMENTO DE ESTAFILOCOCCIAS"";399569;119740370,21"
"""0303080078 TRATAMENTO DE ESTREPTOCOCCIAS"";326613;96289060,65"
"""0303080086 TRATAMENTO DE FARMACODERMIAS"";4205;756177,77"
"""0303080094 TRATAMENTO DE OUTRAS AFECCOES DA PELE E DO TECIDO SUBCUTANEO"";202012;35796640,37"
"""0303090014 ARTROCENTESE DE GRANDES ARTICULACOES"";937;-"
"""0303090022 ARTROCENTESE DE PEQUENAS ARTICULACOES"";176;-"
"""0303090049 INSTALACAO DE TRACAO CUTANEA"";-;118812,42"
"""0303090120 TRATAMENTO CONSERVADOR DE FRATURA NA CINTURA ESCAPULAR (COM IMOBILIZACAO)"";1233;18169,50"
